PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36669784","Accuracy of a tool to prioritise patients awaiting elective surgery: an implementation report","Sharma V, Pritchard-Jones R, Scott S, Ainsworth J.","BMJ Health Care Inform. 2023 Jan;30(1):e100687. doi: 10.1136/bmjhci-2022-100687.","Sharma V","BMJ Health Care Inform","2023","2023/01/20","PMC9872449","","10.1136/bmjhci-2022-100687"
"42116134","Clinical-ShiftEval: a framework for simulating and evaluating model adaptation in dynamic clinical NLP tasks","Villena F, Bravo-Marquez F, Dunstan J.","BMC Med Inform Decis Mak. 2026 May 11. doi: 10.1186/s12911-026-03538-6. Online ahead of print.","Villena F","BMC Med Inform Decis Mak","2026","2026/05/12","","","10.1186/s12911-026-03538-6"
"35134802","Improved Stroke Care in a Primary Stroke Centre Using AI-Decision Support","Gunda B, Neuhaus A, Sipos I, Stang R, Böjti PP, Takács T, Bereczki D, Kis B, Szikora I, Harston G.","Cerebrovasc Dis Extra. 2022;12(1):28-32. doi: 10.1159/000522423. Epub 2022 Feb 8.","Gunda B","Cerebrovasc Dis Extra","2022","2022/02/08","PMC9082202","","10.1159/000522423"
"35034657","A single-entry model and wait time for hip and knee replacement in eastern health region of Newfoundland and Labrador 2011-2019","Vo AT, Yi Y, Mathews M, Valcour J, Alexander M, Billard M.","BMC Health Serv Res. 2022 Jan 16;22(1):82. doi: 10.1186/s12913-021-07451-8.","Vo AT","BMC Health Serv Res","2022","2022/01/17","PMC8761335","","10.1186/s12913-021-07451-8"
"39848457","Gender-Equity Model for Liver Allocation Using Artificial Intelligence (GEMA-AI) for Waiting List Liver Transplant Prioritization","Gómez-Orellana AM, Rodríguez-Perálvarez ML, Guijo-Rubio D, Gutiérrez PA, Majumdar A, McCaughan GW, Taylor R, Tsochatzis EA, Hervás-Martínez C.","Clin Gastroenterol Hepatol. 2025 Nov;23(12):2187-2196. doi: 10.1016/j.cgh.2024.12.010. Epub 2025 Jan 21.","Gómez-Orellana AM","Clin Gastroenterol Hepatol","2025","2025/01/23","","","10.1016/j.cgh.2024.12.010"
"40933813","Artificial intelligence and health empowerment in rural communities and landslide- or avalanche-isolated contexts: real case at a fictitious location","Krumsvik RJ, Slettvoll V.","Front Digit Health. 2025 Aug 26;7:1655154. doi: 10.3389/fdgth.2025.1655154. eCollection 2025.","Krumsvik RJ","Front Digit Health","2025","2025/09/11","PMC12417106","","10.3389/fdgth.2025.1655154"
"34813632","Improving patient flow during infectious disease outbreaks using machine learning for real-time prediction of patient readiness for discharge","Bishop JA, Javed HA, El-Bouri R, Zhu T, Taylor T, Peto T, Watkinson P, Eyre DW, Clifton DA.","PLoS One. 2021 Nov 23;16(11):e0260476. doi: 10.1371/journal.pone.0260476. eCollection 2021.","Bishop JA","PLoS One","2021","2021/11/23","PMC8610279","","10.1371/journal.pone.0260476"
"42137483","Artificial Intelligence-Driven Triage in Pediatric Emergency Departments: Accuracy, Bias, and Impact on Clinical Outcomes: A Narrative Review","Abady E, Elewa M, Elrefaey HA, Thomas Mathew K, Tamvakologos P, Kuhn K, Alsabri M.","Sage Open Pediatr. 2026 May 11;13:30502225261445743. doi: 10.1177/30502225261445743. eCollection 2026 Jan-Dec.","Abady E","Sage Open Pediatr","2026","2026/05/15","PMC13168721","","10.1177/30502225261445743"
"40426129","Monitoring patient pathways at a secondary healthcare services through process mining via Fuzzy Miner","Özdağoğlu G, Damar M, Erenay FS, Turhan Damar H, Himmetoğlu O, Pinto AD.","BMC Med Inform Decis Mak. 2025 May 27;25(1):199. doi: 10.1186/s12911-025-03016-5.","Özdağoğlu G","BMC Med Inform Decis Mak","2025","2025/05/27","PMC12117757","","10.1186/s12911-025-03016-5"
"40722084","Predicting Emergency Severity Index (ESI) level, hospital admission, and admitting ward in an emergency department using data-driven machine learning","Agius S, Cassar V, Magri C, Khan W, Obe DA, Caruana G, Topham L.","BMC Med Inform Decis Mak. 2025 Jul 28;25(1):281. doi: 10.1186/s12911-025-02941-9.","Agius S","BMC Med Inform Decis Mak","2025","2025/07/29","PMC12306103","","10.1186/s12911-025-02941-9"
"40976067","Effectiveness of AI-assisted ESI triage on accuracy and selected outcomes in emergency nursing: A systematic review","Fatai A, Sattayarom C, Laochai W, Faksook E.","Int Emerg Nurs. 2025 Dec;83:101680. doi: 10.1016/j.ienj.2025.101680. Epub 2025 Sep 20.","Fatai A","Int Emerg Nurs","2025","2025/09/21","","","10.1016/j.ienj.2025.101680"
"40379311","Analysis of the most influential factors affecting outcomes of lung transplant recipients: a multivariate prediction model based on UNOS Data","Gholamzadeh M, Safdari R, Asadi Gharabaghi M, Abtahi H.","BMJ Open. 2025 May 16;15(5):e089796. doi: 10.1136/bmjopen-2024-089796.","Gholamzadeh M","BMJ Open","2025","2025/05/16","PMC12086922","","10.1136/bmjopen-2024-089796"
"42052418","A sequential machine learning framework for ICU and hospital length of stay prediction from admission-time data","Jafaripakzad M, Acuña JA, Dombrowski K, Zayas-Castro JL.","Digit Health. 2026 Apr 21;12:20552076261443021. doi: 10.1177/20552076261443021. eCollection 2026 Jan-Dec.","Jafaripakzad M","Digit Health","2026","2026/04/29","PMC13111857","","10.1177/20552076261443021"
"41095594","Predicting Factors Associated with Extended Hospital Stay After Postoperative ICU Admission in Hip Fracture Patients Using Statistical and Machine Learning Methods: A Retrospective Single-Center Study","Alparslan V, Balcı S, Gök A, Aksu C, İnner B, Cesur S, Yörükoğlu HU, Balcı B, Kartal Köse P, Çelik VE, Demiröz S, Kuş A.","Healthcare (Basel). 2025 Oct 2;13(19):2507. doi: 10.3390/healthcare13192507.","Alparslan V","Healthcare (Basel)","2025","2025/10/16","PMC12524269","","10.3390/healthcare13192507"
"41082131","Can past variants of SARS-CoV-2 predict the impact of future variants? Machine learning for early warning of US counties at risk","Smith KB, Shen S, Denton BT.","Health Care Manag Sci. 2025 Dec;28(4):738-758. doi: 10.1007/s10729-025-09728-4. Epub 2025 Oct 13.","Smith KB","Health Care Manag Sci","2025","2025/10/13","PMC12743673","","10.1007/s10729-025-09728-4"
"41925457","Impact of a Digital Intelligence Platform on Radiology Workflow Efficiency and Patient Satisfaction: A Retrospective Cohort Study","Feng J, Cao X, Fang J, Cai L, Wang Q, Zhang J.","Acad Radiol. 2026 Mar 31:S1076-6332(26)00181-9. doi: 10.1016/j.acra.2026.03.017. Online ahead of print.","Feng J","Acad Radiol","2026","2026/04/02","","","10.1016/j.acra.2026.03.017"
"40109152","Prognostic Utility of the GAP Score in Interstitial Lung Disease Patients Evaluated for Lung Transplantation: A Single-Center Study","Mora-Cuesta VM, Zuazaga-Fuentes J, Iturbe-Fernández D, Tello-Mena S, Izquierdo-Cuervo S, Alonso-Lecue P, Cifrián-Martínez JM.","Clin Transplant. 2025 Mar;39(3):e70136. doi: 10.1111/ctr.70136.","Mora-Cuesta VM","Clin Transplant","2025","2025/03/20","","","10.1111/ctr.70136"
"34210317","Supporting the classification of patients in public hospitals in Chile by designing, deploying and validating a system based on natural language processing","Villena F, Pérez J, Lagos R, Dunstan J.","BMC Med Inform Decis Mak. 2021 Jul 1;21(1):208. doi: 10.1186/s12911-021-01565-z.","Villena F","BMC Med Inform Decis Mak","2021","2021/07/02","PMC8252255","","10.1186/s12911-021-01565-z"
"40478423","A data-driven framework for fair and efficient organ transplantation using gradient boosting and adaptive genetic allocation","Gnanasambandan S, Balasubramanian V.","J Artif Organs. 2025 Dec;28(4):527-537. doi: 10.1007/s10047-025-01512-z. Epub 2025 Jun 6.","Gnanasambandan S","J Artif Organs","2025","2025/06/06","","","10.1007/s10047-025-01512-z"
"41266172","Utilizing Temporal Inductive Path Neural Networks for Accurate Voice-Based Depression Classification: A Detailed Approach for Analyzing Speech Patterns to Identify Mental Health States","Ashok Kumar K, Domala N, Sajjan VK, Bhadavath KK, Jadapalli S, Vemula R.","J Voice. 2025 Nov 19:S0892-1997(25)00419-9. doi: 10.1016/j.jvoice.2025.10.003. Online ahead of print.","Ashok Kumar K","J Voice","2025","2025/11/20","","","10.1016/j.jvoice.2025.10.003"
"41530772","AI assisted triage of UK patients in mental health care services: a qualitative focus group study of patients' attitudes","Smith KA, Hamer-Hunt J, Kormilitzin A, Page H, Joyce DW, Cipriani A; CHRONOSIG group*.","BMC Psychiatry. 2026 Jan 13;26(1):35. doi: 10.1186/s12888-025-07329-7.","Smith KA","BMC Psychiatry","2026","2026/01/14","PMC12801542","","10.1186/s12888-025-07329-7"
"41456988","Secretary or SecretarAI: assessing the triage performance of AI vs human staff in a specialized dental clinic","Wasserman G, Grinberg N, Peleg O, Shuster A, Ianculovici C, Hurvitz AZ, Kleinman S.","Oral Surg Oral Med Oral Pathol Oral Radiol. 2026 May;141(5):618-624. doi: 10.1016/j.oooo.2025.11.008. Epub 2025 Nov 28.","Wasserman G","Oral Surg Oral Med Oral Pathol Oral Radiol","2026","2025/12/28","","","10.1016/j.oooo.2025.11.008"
"39150508","[Prioritized appointment allocation in new patients, what is really decisive? : Comparative analysis of manual appointment allocation with automated and AI-assisted approaches]","Krämer S, Flöge A, Handt S, Juzek-Küpper F, Vogt K, Ullmann J, Rauen T.","Z Rheumatol. 2025 Apr;84(3):169-178. doi: 10.1007/s00393-024-01550-7. Epub 2024 Aug 16.","Krämer S","Z Rheumatol","2025","2024/08/16","PMC11965217","","10.1007/s00393-024-01550-7"
